species,folder_count,folders,image_count,high,medium,low,unreadable,high_pct,medium_pct,low_pct,total_mb,avg_width,avg_height,extensions
短颌灯笼鱼,1,短颌灯笼鱼,25,24,0,1,0,96.0,0.0,4.0,105.51,4452.1,3254.6,.jpg:25
印度星衫鱼,1,印度星衫鱼,24,23,1,0,0,95.8,4.2,0.0,77.91,4653.7,3162.6,.jpg:24
大头狗母鱼,1,大头狗母鱼,24,22,0,2,0,91.7,0.0,8.3,186.48,7097.7,4373.3,.jpg:24
异齿拟长额虾,1,异齿拟长额虾,24,24,0,0,0,100.0,0.0,0.0,67.08,3111.4,2984.8,.jpg:24
梅花鲨,1,梅花鲨,24,24,0,0,0,100.0,0.0,0.0,277.8,8688,4888,.jpg:24
尾纹九棘鲈,1,尾纹九棘鲈,23,22,1,0,0,95.7,4.3,0.0,199.35,7205.4,4265.6,.jpg:22; .png:1
深海鲉,1,深海鲉,23,19,4,0,0,82.6,17.4,0.0,60.71,3565.7,2993.0,.jpg:23
鳞首方头鲳,1,鳞首方头鲳,23,23,0,0,0,100.0,0.0,0.0,169.84,6348.5,4165.6,.jpg:23
长体圆鲹,1,长体圆鲹,22,16,2,4,0,72.7,9.1,18.2,158.92,6648.6,3867.7,.jpg:22
高体若鲹,1,高体若鲹,22,22,0,0,0,100.0,0.0,0.0,186.87,7046.6,4157.2,.jpg:22
鸢乌贼,1,鸢乌贼,22,20,2,0,0,90.9,9.1,0.0,43.37,2674,3062.1,.jpg:22
刺鲀幼体,1,刺鲀幼体,21,21,0,0,0,100.0,0.0,0.0,160.28,7881.1,4473.9,.jpg:21
